n	lnL	lambda	mu	psi	rho
1	-62.6026	0.0533398	0.351598	0.238542	0.824052
100	21.132	3.87002	0.0547176	1.81893	0.31657
200	16.511	2.74198	1.08226	2.04616	0.443543
300	19.5619	3.87454	0.0259343	1.17426	0.170106
400	21.4868	3.88834	0.540402	2.36108	0.32393
500	21.2512	4.18635	0.04185	2.07361	0.138135
600	20.011	3.45888	0.864605	2.46277	0.363332
700	17.9204	3.11074	1.01779	1.62923	0.309002
800	17.5647	3.15931	0.797703	1.47864	0.22584
900	20.1381	3.49578	0.570621	2.44461	0.361902
1000	20.6228	4.20238	0.89423	1.25602	0.181661
1100	22.225	4.4979	0.211465	1.81697	0.144588
1200	22.5659	4.28751	0.414652	1.93999	0.264134
1300	15.5031	2.63538	0.358144	1.61595	0.229573
1400	16.8089	3.28164	0.896346	1.04078	0.331467
1500	19.6585	3.6202	0.771586	3.04754	0.194526
1600	14.6227	2.67771	0.21429	1.10889	0.309812
1700	19.16	3.34661	0.234745	1.71322	0.23626
1800	17.7233	3.09789	0.0302712	1.43408	0.247199
1900	21.2563	4.73386	0.635967	1.50598	0.469787
2000	18.4875	3.32241	0.319853	1.3825	0.26318
2100	17.8803	3.03305	0.402414	1.78187	0.246386
2200	17.9518	2.97531	1.44055	2.52527	0.407793
2300	20.0394	3.91794	0.710969	2.47996	0.518713
2400	19.2785	3.32355	0.967113	2.05862	0.270612
2500	15.8271	2.51937	0.661151	2.33814	0.415812
2600	18.1963	3.08769	0.135445	1.69209	0.317777
2700	17.6205	3.07163	0.157441	2.33658	0.47585
2800	11.986	2.01329	1.53374	2.51171	0.570318
2900	22.3595	4.83728	1.72578	2.97631	0.533277
3000	21.4264	4.01013	1.18173	2.26145	0.409452
3100	20.9247	4.39407	0.309579	1.76506	0.111133
3200	12.6748	2.36195	0.077813	2.22971	0.603121
3300	16.1774	3.12255	0.486155	1.39106	0.505433
3400	22.1433	4.40298	0.230622	1.50979	0.315646
3500	21.0645	3.89043	0.599455	1.67816	0.260786
3600	18.9386	3.21712	0.290151	1.87997	0.269797
3700	14.2436	2.54224	0.550799	1.37841	0.445437
3800	19.9043	3.6016	0.321656	1.54125	0.298843
3900	22.7344	4.51151	0.337694	1.55178	0.220697
4000	20.8589	3.77375	0.153292	1.84121	0.22354
4100	17.6251	3.98939	0.0138715	0.740527	0.156224
4200	16.9129	2.96776	2.66829	2.38944	0.278298
4300	19.2342	3.82144	1.16019	1.88123	0.138702
4400	14.7147	2.73911	0.802914	1.11875	0.3174
4500	22.9154	4.38627	0.048475	2.15233	0.246389
4600	21.7164	4.13742	0.0161001	2.17197	0.366928
4700	21.6983	4.15629	0.903461	1.63857	0.316145
4800	17.399	4.15146	2.24942	1.00617	0.564975
4900	19.3425	3.31316	0.700352	2.02479	0.344863
5000	19.603	3.72631	0.657074	1.28958	0.24384
5100	17.735	3.25856	0.624844	2.53361	0.550759
5200	20.9767	3.77972	0.418411	1.87803	0.296325
5300	19.6786	3.72674	1.20274	1.41071	0.351028
5400	16.2824	2.63491	0.489709	2.23356	0.252265
5500	21.3349	4.7212	1.33836	1.85488	0.538887
5600	18.4971	3.77472	0.300089	1.56483	0.111748
5700	21.3927	3.93931	0.984483	2.60836	0.391238
5800	26.0484	5.96275	0.266381	1.79532	0.184887
5900	22.4623	4.23876	0.0240569	2.38703	0.293
6000	15.9128	2.93002	0.691285	1.763	0.156273
6100	19.552	3.45306	1.34329	1.90067	0.28799
6200	22.5876	4.27485	0.662899	2.10732	0.274376
6300	20.873	4.40753	1.06287	1.78575	0.509135
6400	14.9577	2.35122	1.03656	2.49377	0.403193
6500	19.6449	3.8308	0.754501	1.26594	0.205569
6600	19.9958	3.70894	0.862021	1.57433	0.224651
6700	16.1659	3.03698	1.00654	1.15142	0.350781
6800	21.2791	4.05008	1.39684	1.66093	0.264735
6900	19.7359	3.52408	1.23942	2.10069	0.427729
7000	20.9776	3.91939	0.740282	1.64653	0.233801
7100	21.9727	5.04149	0.15832	2.73094	0.483625
7200	17.557	2.99536	0.221918	2.38892	0.190544
7300	18.2073	3.50283	0.442587	2.96466	0.558086
7400	17.0139	2.87321	0.67478	1.91279	0.232495
7500	18.3637	3.00569	0.221476	2.25787	0.301967
7600	18.2383	3.24637	1.41006	1.77423	0.241485
7700	18.8616	3.82856	0.144581	0.996266	0.311603
7800	21.1315	4.24655	0.276824	1.39101	0.158142
7900	12.3461	2.92228	0.451065	1.17574	0.0901698
8000	21.2138	4.12852	0.403077	1.44341	0.327604
8100	16.7616	2.82967	0.21178	2.19465	0.463948
8200	20.4872	3.58476	0.264005	2.39494	0.338434
8300	19.3463	3.8673	1.26721	1.68202	0.146462
8400	19.4817	3.49798	1.62362	1.76602	0.316079
8500	19.1691	3.513	0.327348	1.9493	0.163336
8600	16.5878	2.8804	0.443709	1.55048	0.407547
8700	21.4244	3.91555	0.324056	2.00857	0.322984
8800	18.9604	4.25014	0.46399	1.09712	0.459871
8900	24.668	5.20562	0.219132	1.78502	0.228088
9000	17.7592	3.74014	1.9412	2.64008	0.710449
9100	19.0217	3.52912	0.117285	1.25991	0.266832
9200	17.0812	3.2148	1.78369	1.27428	0.342455
9300	24.2094	4.95221	0.378418	1.94115	0.240088
9400	18.461	3.48787	1.19501	1.28132	0.265874
9500	16.3749	2.86943	0.705638	2.31314	0.543235
9600	20.7909	3.78848	1.50254	2.13854	0.260347
9700	16.1833	2.57461	1.07691	2.97844	0.39888
9800	14.9152	2.72481	0.154366	1.43616	0.478036
9900	18.515	3.78729	2.22953	1.11648	0.308023
10000	23.6202	4.86105	0.220569	1.66041	0.181638
10100	16.9555	3.02468	0.120745	1.78261	0.470962
10200	18.0712	3.25611	0.904083	1.99933	0.180921
10300	22.3072	4.30608	0.363016	3.13567	0.281805
10400	22.773	4.55471	1.12341	2.27459	0.406387
10500	18.2899	4.02272	1.54698	2.29625	0.6872
10600	20.681	3.77493	0.663556	3.04792	0.402273
10700	16.517	3.00599	0.813582	1.92372	0.546408
10800	17.7981	3.24579	0.282942	1.64285	0.452136
10900	16.4639	2.72762	0.0834568	1.72378	0.247219
11000	17.4501	2.96239	0.337819	2.0067	0.43486
11100	18.9933	3.83564	0.565732	1.88612	0.537385
11200	18.3276	3.29057	0.183981	1.98693	0.459577
11300	18.6721	3.31852	0.887816	1.73005	0.226153
11400	20.767	4.07757	0.484524	1.61205	0.156317
11500	19.5127	4.27276	0.357099	1.17507	0.110573
11600	14.4869	2.33285	0.377177	1.78543	0.330396
11700	15.4504	3.05025	0.262268	1.07898	0.435998
11800	16.1419	2.56312	0.697188	2.52793	0.410333
11900	22.6971	4.3708	1.40126	2.16175	0.331144
12000	17.5637	3.04036	1.02885	2.09031	0.214877
12100	18.4424	3.07171	0.936721	2.17897	0.346932
12200	19.2439	4.10901	1.33912	1.00346	0.365889
12300	21.9006	4.2171	0.672076	1.57111	0.267475
